title,issn,publisher,subjectAreas,licenseAgreement,oaModel
Journal of Human Resources in Hospitality &amp; Tourism,1533-2845,Taylor & Francis,,25%,Hybrid
Journal of Human Rights,1475-4835,Taylor & Francis,,25%,Hybrid
Journal of Human Trafficking,2332-2705,Taylor & Francis,,25%,Hybrid
Journal of Hunger &amp; Environmental Nutrition,1932-0248,Taylor & Francis,,25%,Hybrid
Journal of Hydraulic Research,0022-1686,Taylor & Francis,,25%,Hybrid
Journal of Iberian and Latin American Research,1326-0219,Taylor & Francis,,25%,Hybrid
Journal of Iberian and Latin American Studies,1470-1847,Taylor & Francis,,25%,Hybrid
Journal of Immigrant &amp; Refugee Studies,1556-2948,Taylor & Francis,,25%,Hybrid
Journal of Immunoassay and Immunochemistry,1532-1819,Taylor & Francis,,25%,Hybrid
Journal of Industrial and Production Engineering,2168-1015,Taylor & Francis,,25%,Hybrid
"Journal of Infant, Child, and Adolescent Psychotherapy",1528-9168,Taylor & Francis,,25%,Hybrid
Journal of Information Technology &amp; Politics,1933-1681,Taylor & Francis,,25%,Hybrid
Journal of Information Technology Case and Application Research,1522-8053,Taylor & Francis,,25%,Hybrid
Journal of Intellectual &amp; Developmental Disability,1366-8250,Taylor & Francis,,25%,Hybrid
Journal of Intelligence History,1616-1262,Taylor & Francis,,25%,Hybrid
Journal of Intelligent Transportation Systems,1547-2450,Taylor & Francis,,25%,Hybrid
Journal of Interactive Advertising,-,Taylor & Francis,,25%,Hybrid
Journal of Intercultural Communication Research,1747-5759,Taylor & Francis,,25%,Hybrid
Journal of Intercultural Studies,0725-6868,Taylor & Francis,,25%,Hybrid
Journal of Intergenerational Relationships,1535-0770,Taylor & Francis,,25%,Hybrid
Journal of International and Intercultural Communication,1751-3057,Taylor & Francis,,25%,Hybrid
Journal of International Consumer Marketing,0896-1530,Taylor & Francis,,25%,Hybrid
Journal of International Food &amp; Agribusiness Marketing,0897-4438,Taylor & Francis,,25%,Hybrid
Journal of International Wildlife Law &amp; Policy,1388-0292,Taylor & Francis,,25%,Hybrid
Journal of Internet Commerce,1533-2861,Taylor & Francis,,25%,Hybrid
Journal of Inter-Organizational Relationships,2694-3980,Taylor & Francis,,25%,Hybrid
Journal of Interprofessional Care,1356-1820,Taylor & Francis,,25%,Hybrid
Journal of Intervention and Statebuilding,1750-2977,Taylor & Francis,,25%,Hybrid
Journal of Israeli History,1353-1042,Taylor & Francis,,25%,Hybrid
Journal of Japanese and Korean Cinema,1756-4905,Taylor & Francis,,25%,Hybrid
Journal of Jewish Education,1524-4113,Taylor & Francis,,25%,Hybrid
Journal of Landscape Architecture,1862-6033,Taylor & Francis,,25%,Hybrid
"Journal of Language, Identity &amp; Education",1534-8458,Taylor & Francis,,25%,Hybrid
"Journal of Language, Literature and Culture",2051-2856,Taylor & Francis,,25%,Hybrid
Journal of Latin American Cultural Studies,1356-9325,Taylor & Francis,,25%,Hybrid
Journal of Latinos and Education,1534-8431,Taylor & Francis,,25%,Hybrid
Journal of Legal Medicine,0194-7648,Taylor & Francis,,25%,Hybrid
Journal of Leisure Research,0022-2216,Taylor & Francis,,25%,Hybrid
Journal of Lesbian Studies,1089-4160,Taylor & Francis,,25%,Hybrid
Journal of LGBT Youth,1936-1653,Taylor & Francis,,25%,Hybrid
Journal of LGBTQ Issues in Counseling,2692-4951,Taylor & Francis,,25%,Hybrid
Journal of Library &amp; Information Services in Distance Learning,1533-290X,Taylor & Francis,,25%,Hybrid
Journal of Library Administration,0193-0826,Taylor & Francis,,25%,Hybrid
Journal of Library Metadata,1938-6389,Taylor & Francis,,25%,Hybrid
Journal of Library Resource Sharing,2691-5979,Taylor & Francis,,25%,Hybrid
Journal of Liposome Research,0898-2104,Taylor & Francis,,25%,Hybrid
Journal of Liquid Chromatography &amp; Related Technologies,1082-6076,Taylor & Francis,,25%,Hybrid
Journal of Location Based Services,1748-9725,Taylor & Francis,,25%,Hybrid
Journal of Loss and Trauma,1532-5024,Taylor & Francis,,25%,Hybrid
"Journal of Macromolecular Science, Part A",1060-1325,Taylor & Francis,,25%,Hybrid
"Journal of Macromolecular Science, Part B",0022-2348,Taylor & Francis,,25%,Hybrid
Journal of Management Analytics,2327-0012,Taylor & Francis,,25%,Hybrid
Journal of Management Information Systems,0742-1222,Taylor & Francis,,25%,Hybrid
Journal of Manual &amp; Manipulative Therapy,1066-9817,Taylor & Francis,,25%,Hybrid
Journal of Map &amp; Geography Libraries,1542-0353,Taylor & Francis,,25%,Hybrid
Journal of Marine Engineering &amp; Technology,2046-4177,Taylor & Francis,,25%,Hybrid
Journal of Marketing Communications,1352-7266,Taylor & Francis,,25%,Hybrid
Journal of Marketing for Higher Education,0884-1241,Taylor & Francis,,25%,Hybrid
Journal of Marketing Management,0267-257X,Taylor & Francis,,25%,Hybrid
Journal of Marketing Theory and Practice,1069-6679,Taylor & Francis,,25%,Hybrid
Journal of Mathematics and Music,1745-9737,Taylor & Francis,,25%,Hybrid
Journal of Mathematics and the Arts,1751-3472,Taylor & Francis,,25%,Hybrid
Journal of Media and Religion,1534-8423,Taylor & Francis,,25%,Hybrid
Journal of Media Business Studies,1652-2354,Taylor & Francis,,25%,Hybrid
Journal of Media Economics,0899-7764,Taylor & Francis,,25%,Hybrid
Journal of Media Ethics,2373-6992,Taylor & Francis,,25%,Hybrid
Journal of Media Law,1757-7632,Taylor & Francis,,25%,Hybrid
Journal of Medical Engineering &amp; Technology,0309-1902,Taylor & Francis,,25%,Hybrid
Journal of Medieval History,0304-4181,Taylor & Francis,,25%,Hybrid
Journal of Medieval Iberian Studies,1754-6559,Taylor & Francis,,25%,Hybrid
Journal of Mental Health,0963-8237,Taylor & Francis,,25%,Hybrid
Journal of Mental Health Research in Intellectual Disabilities,1931-5864,Taylor & Francis,,25%,Hybrid
Journal of Microencapsulation,0265-2048,Taylor & Francis,,25%,Hybrid
Journal of Microwave Power and Electromagnetic Energy,0832-7823,Taylor & Francis,,25%,Hybrid
Journal of Military Ethics,1502-7570,Taylor & Francis,,25%,Hybrid
Journal of Modern Chinese History,1753-5654,Taylor & Francis,,25%,Hybrid
Journal of Modern Italian Studies,1354-571X,Taylor & Francis,,25%,Hybrid
Journal of Modern Jewish Studies,1472-5886,Taylor & Francis,,25%,Hybrid
Journal of Modern Optics,0950-0340,Taylor & Francis,,25%,Hybrid
Journal of Moral Education,0305-7240,Taylor & Francis,,25%,Hybrid
Journal of Motor Behavior,0022-2895,Taylor & Francis,,25%,Hybrid
Journal of Multicultural Discourses,1744-7143,Taylor & Francis,,25%,Hybrid
Journal of Multilingual and Multicultural Development,0143-4632,Taylor & Francis,,25%,Hybrid
Journal of Museum Education,1059-8650,Taylor & Francis,,25%,Hybrid
Journal of Musicological Research,0141-1896,Taylor & Francis,,25%,Hybrid
Journal of Muslim Minority Affairs,1360-2004,Taylor & Francis,,25%,Hybrid
Journal of Natural History,0022-2933,Taylor & Francis,,25%,Hybrid
Journal of Neurogenetics,0167-7063,Taylor & Francis,,25%,Hybrid
Journal of New Music Research,0929-8215,Taylor & Francis,,25%,Hybrid
Journal of Nonparametric Statistics,1048-5252,Taylor & Francis,,25%,Hybrid
Journal of Nonprofit &amp; Public Sector Marketing,1049-5142,Taylor & Francis,,25%,Hybrid
Journal of Nuclear Science and Technology,0022-3131,Taylor & Francis,,25%,Hybrid
Journal of Nutrition in Gerontology and Geriatrics,2155-1197,Taylor & Francis,,25%,Hybrid
Journal of Occupational and Environmental Hygiene,1545-9624,Taylor & Francis,,25%,Hybrid
Journal of Occupational Science,1442-7591,Taylor & Francis,,25%,Hybrid
"Journal of Occupational Therapy, Schools, &amp; Early Intervention",1941-1243,Taylor & Francis,,25%,Hybrid
Journal of Offender Rehabilitation,1050-9674,Taylor & Francis,,25%,Hybrid
Journal of Operational Oceanography,1755-876X,Taylor & Francis,,25%,Hybrid
Journal of Organizational Behavior Management,0160-8061,Taylor & Francis,,25%,Hybrid
Journal of Organizational Computing and Electronic Commerce,1091-9392,Taylor & Francis,,25%,Hybrid
Journal of Pain &amp; Palliative Care Pharmacotherapy,1536-0288,Taylor & Francis,,25%,Hybrid
Journal of Palestine Studies,0377-919X,Taylor & Francis,,25%,Hybrid
Journal of Paper Conservation,1868-0860,Taylor & Francis,,25%,Hybrid
Journal of Pastoral Theology,1064-9867,Taylor & Francis,,25%,Hybrid
Journal of Peace Education,1740-0201,Taylor & Francis,,25%,Hybrid
Journal of Pentecostal and Charismatic Christianity,2769-1616,Taylor & Francis,,25%,Hybrid
Journal of Personal Selling &amp; Sales Management,0885-3134,Taylor & Francis,,25%,Hybrid
Journal of Personality Assessment,0022-3891,Taylor & Francis,,25%,Hybrid
"Journal of Physical Education, Recreation &amp; Dance",0730-3084,Taylor & Francis,,25%,Hybrid
Journal of Plant Nutrition,0190-4167,Taylor & Francis,,25%,Hybrid
Journal of Poetry Therapy,0889-3675,Taylor & Francis,,25%,Hybrid
"Journal of Policing, Intelligence and Counter Terrorism",1833-5330,Taylor & Francis,,25%,Hybrid
"Journal of Policy Research in Tourism, Leisure and Events",1940-7963,Taylor & Francis,,25%,Hybrid
Journal of Political Ideologies,1356-9317,Taylor & Francis,,25%,Hybrid
Journal of Political Marketing,1537-7857,Taylor & Francis,,25%,Hybrid
Journal of Political Power,2158-379X,Taylor & Francis,,25%,Hybrid
Journal of Political Science Education,1551-2169,Taylor & Francis,,25%,Hybrid
Journal of Popular Film and Television,0195-6051,Taylor & Francis,,25%,Hybrid
Journal of Post Keynesian Economics,0160-3477,Taylor & Francis,,25%,Hybrid
Journal of Postcolonial Writing,1744-9855,Taylor & Francis,,25%,Hybrid
Journal of Poverty,1087-5549,Taylor & Francis,,25%,Hybrid
Journal of Prevention &amp; Intervention in the Community,1085-2352,Taylor & Francis,,25%,Hybrid
Journal of Private International Law,1744-1048,Taylor & Francis,,25%,Hybrid
"Journal of Professional Counseling: Practice, Theory &amp; Research",1556-6382,Taylor & Francis,,25%,Hybrid
Journal of Progressive Human Services,1042-8232,Taylor & Francis,,25%,Hybrid
Journal of Promotion Management,1049-6491,Taylor & Francis,,25%,Hybrid
Journal of Property Research,0959-9916,Taylor & Francis,,25%,Hybrid
Journal of Psychoactive Drugs,0279-1072,Taylor & Francis,,25%,Hybrid
Journal of Psychology in Africa,1433-0237,Taylor & Francis,,25%,Hybrid
Journal of Psychosocial Oncology,0734-7332,Taylor & Francis,,25%,Hybrid
Journal of Public Affairs Education,1523-6803,Taylor & Francis,,25%,Hybrid
Journal of Public Child Welfare,1554-8732,Taylor & Francis,,25%,Hybrid
Journal of Public Relations Research,1062-726X,Taylor & Francis,,25%,Hybrid
Journal of Quality Assurance in Hospitality &amp; Tourism,1528-008X,Taylor & Francis,,25%,Hybrid
Journal of Quality Technology,0022-4065,Taylor & Francis,,25%,Hybrid
Journal of Quantitative Linguistics,0929-6174,Taylor & Francis,,25%,Hybrid
"Journal of Race, Ethnicity and the City",2688-4674,Taylor & Francis,,25%,Hybrid
Journal of Radio &amp; Audio Media,1937-6529,Taylor & Francis,,25%,Hybrid
Journal of Real Estate Literature,0927-7544,Taylor & Francis,,25%,Hybrid
Journal of Real Estate Portfolio Management,1083-5547,Taylor & Francis,,25%,Hybrid
Journal of Real Estate Research,0896-5803,Taylor & Francis,,25%,Hybrid
Journal of Receptors and Signal Transduction,1079-9893,Taylor & Francis,,25%,Hybrid
Journal of Relationship Marketing,1533-2667,Taylor & Francis,,25%,Hybrid
Journal of Religion &amp; Spirituality in Social Work: Social Thought,1542-6432,Taylor & Francis,,25%,Hybrid
"Journal of Religion, Spirituality &amp; Aging",1552-8030,Taylor & Francis,,25%,Hybrid
Journal of Religious &amp; Theological Information,1047-7845,Taylor & Francis,,25%,Hybrid
Journal of Reproductive and Infant Psychology,0264-6838,Taylor & Francis,,25%,Hybrid
Journal of Research in Childhood Education,0256-8543,Taylor & Francis,,25%,Hybrid
Journal of Research on Christian Education,1065-6219,Taylor & Francis,,25%,Hybrid
Journal of Research on Educational Effectiveness,1934-5747,Taylor & Francis,,25%,Hybrid
Journal of Research on Technology in Education,1539-1523,Taylor & Francis,,25%,Hybrid
Journal of Risk Research,1366-9877,Taylor & Francis,,25%,Hybrid
Journal of School Choice,1558-2159,Taylor & Francis,,25%,Hybrid
Journal of School Violence,1538-8220,Taylor & Francis,,25%,Hybrid
Journal of Science Teacher Education,1046-560X,Taylor & Francis,,25%,Hybrid
Journal of Sex &amp; Marital Therapy,0092-623X,Taylor & Francis,,25%,Hybrid
Journal of Sexual Aggression,1355-2600,Taylor & Francis,,25%,Hybrid
Journal of Simulation,1747-7778,Taylor & Francis,,25%,Hybrid
Journal of Small Business &amp; Entrepreneurship,0827-6331,Taylor & Francis,,25%,Hybrid
Journal of Small Business Management,0047-2778,Taylor & Francis,,25%,Hybrid
Journal of Social Distress and Homelessness,1053-0789,Taylor & Francis,,25%,Hybrid
Journal of Social Entrepreneurship,1942-0676,Taylor & Francis,,25%,Hybrid
Journal of Social Service Research,0148-8376,Taylor & Francis,,25%,Hybrid
Journal of Social Welfare and Family Law,0964-9069,Taylor & Francis,,25%,Hybrid
Journal of Social Work Education,1043-7797,Taylor & Francis,,25%,Hybrid
Journal of Social Work in End-of-Life &amp; Palliative Care,1552-4256,Taylor & Francis,,25%,Hybrid
Journal of Social Work Practice,0265-0533,Taylor & Francis,,25%,Hybrid
Journal of Social Work Practice in the Addictions,1533-256X,Taylor & Francis,,25%,Hybrid
Journal of Southern African Studies,0305-7070,Taylor & Francis,,25%,Hybrid
Journal of Spanish Cultural Studies,1463-6204,Taylor & Francis,,25%,Hybrid
Journal of Spanish Language Teaching,2324-7797,Taylor & Francis,,25%,Hybrid
Journal of Spatial Science,1449-8596,Taylor & Francis,,25%,Hybrid
Journal of Spirituality in Mental Health,1934-9637,Taylor & Francis,,25%,Hybrid
Journal of Sport &amp; Tourism,1477-5085,Taylor & Francis,,25%,Hybrid
Journal of Sport Psychology in Action,2152-0704,Taylor & Francis,,25%,Hybrid
Journal of Sports Sciences,0264-0414,Taylor & Francis,,25%,Hybrid
Journal of Statistical Computation and Simulation,0094-9655,Taylor & Francis,,25%,Hybrid
Journal of Strategic Marketing,0965-254X,Taylor & Francis,,25%,Hybrid
Journal of Strategic Studies,0140-2390,Taylor & Francis,,25%,Hybrid
Journal of Structural Integrity and Maintenance,2470-5314,Taylor & Francis,,25%,Hybrid
Journal of Student Affairs Research and Practice,1949-6591,Taylor & Francis,,25%,Hybrid
Journal of Substance Use,1465-9891,Taylor & Francis,,25%,Hybrid
Journal of Sulfur Chemistry,1741-5993,Taylor & Francis,,25%,Hybrid
Journal of Sustainable Cement-Based Materials,2165-0373,Taylor & Francis,,25%,Hybrid
Journal of Sustainable Finance &amp; Investment,2043-0795,Taylor & Francis,,25%,Hybrid
Journal of Sustainable Forestry,1054-9811,Taylor & Francis,,25%,Hybrid
Journal of Sustainable Tourism,0966-9582,Taylor & Francis,,25%,Hybrid
Journal of Systematic Palaeontology,1477-2019,Taylor & Francis,,25%,Hybrid
Journal of Teaching in International Business,0897-5930,Taylor & Francis,,25%,Hybrid
Journal of Teaching in Social Work,0884-1233,Taylor & Francis,,25%,Hybrid
Journal of Teaching in Travel &amp; Tourism,1531-3220,Taylor & Francis,,25%,Hybrid
Journal of Technology in Human Services,1522-8835,Taylor & Francis,,25%,Hybrid
Journal of Textile Design Research and Practice,2051-1787,Taylor & Francis,,25%,Hybrid
Journal of the African Literature Association,2167-4736,Taylor & Francis,,25%,Hybrid
Journal of the Air &amp; Waste Management Association,1096-2247,Taylor & Francis,,25%,Hybrid
Journal of the American Institute for Conservation,0197-1360,Taylor & Francis,,25%,Hybrid
Journal of the American Nutrition Association,2769-7061,Taylor & Francis,,25%,Hybrid
Journal of the American Planning Association,0194-4363,Taylor & Francis,,25%,Hybrid
Journal of the American Society of Brewing Chemists,0361-0470,Taylor & Francis,,25%,Hybrid
Journal of the American Statistical Association,0162-1459,Taylor & Francis,,25%,Hybrid
Journal of the Asia Pacific Economy,1354-7860,Taylor & Francis,,25%,Hybrid
Journal of the Australian Library and Information Association,2475-0158,Taylor & Francis,,25%,Hybrid
Journal of the British Archaeological Association,0068-1288,Taylor & Francis,,25%,Hybrid
Journal of the British Society for Phenomenology,0007-1773,Taylor & Francis,,25%,Hybrid
Journal of the Chinese Institute of Engineers,0253-3839,Taylor & Francis,,25%,Hybrid
Journal of the History of the Neurosciences,0964-704X,Taylor & Francis,,25%,Hybrid
Journal of the Indian Ocean Region,1948-0881,Taylor & Francis,,25%,Hybrid
Journal of the Institute of Conservation,1945-5224,Taylor & Francis,,25%,Hybrid
Journal of the International Council for Small Business,2643-7015,Taylor & Francis,,25%,Hybrid
Journal of the Learning Sciences,1050-8406,Taylor & Francis,,25%,Hybrid
Journal of the Musical Arts in Africa,1812-1004,Taylor & Francis,,25%,Hybrid
Journal of the Operational Research Society,0160-5682,Taylor & Francis,,25%,Hybrid
Journal of the Philosophy of Sport,0094-8705,Taylor & Francis,,25%,Hybrid
Journal of the Royal Society of New Zealand,0303-6758,Taylor & Francis,,25%,Hybrid
Journal of Thermal Stresses,0149-5739,Taylor & Francis,,25%,Hybrid
Journal of Tourism and Cultural Change,1476-6825,Taylor & Francis,,25%,Hybrid
Journal of Tourism History,1755-182X,Taylor & Francis,,25%,Hybrid
"Journal of Toxicology and Environmental Health, Part A",1528-7394,Taylor & Francis,,25%,Hybrid
"Journal of Toxicology and Environmental Health, Part B",1093-7404,Taylor & Francis,,25%,Hybrid
Journal of Transnational Management,1547-5778,Taylor & Francis,,25%,Hybrid
Journal of Transportation Safety &amp; Security,1943-9962,Taylor & Francis,,25%,Hybrid
Journal of Trauma &amp; Dissociation,1529-9732,Taylor & Francis,,25%,Hybrid
Journal of Travel &amp; Tourism Marketing,1054-8408,Taylor & Francis,,25%,Hybrid
Journal of Trust Research,2151-5581,Taylor & Francis,,25%,Hybrid
Journal of Turbulence,-,Taylor & Francis,,25%,Hybrid
Journal of Urban Affairs,0735-2166,Taylor & Francis,,25%,Hybrid
Journal of Urban Design,1357-4809,Taylor & Francis,,25%,Hybrid
Journal of Urban Technology,1063-0732,Taylor & Francis,,25%,Hybrid
Journal of Urbanism: International Research on Placemaking and Urban Sustainability,1754-9175,Taylor & Francis,,25%,Hybrid
Journal of Vertebrate Paleontology,0272-4634,Taylor & Francis,,25%,Hybrid
Journal of Visual Art Practice,1470-2029,Taylor & Francis,,25%,Hybrid
Journal of Visual Communication in Medicine,1745-3054,Taylor & Francis,,25%,Hybrid
Journal of Visual Literacy,1051-144X,Taylor & Francis,,25%,Hybrid
Journal of Vocational Education &amp; Training,1363-6820,Taylor & Francis,,25%,Hybrid
Journal of War &amp; Culture Studies,1752-6272,Taylor & Francis,,25%,Hybrid
Journal of Web Librarianship,1932-2909,Taylor & Francis,,25%,Hybrid
Journal of Wetland Archaeology,1473-2971,Taylor & Francis,,25%,Hybrid
Journal of Wine Research,0957-1264,Taylor & Francis,,25%,Hybrid
Journal of Women &amp; Aging,0895-2841,Taylor & Francis,,25%,Hybrid
Journal of Women and Gender in Higher Education,2637-9112,Taylor & Francis,,25%,Hybrid
"Journal of Women, Politics &amp; Policy",1554-477X,Taylor & Francis,,25%,Hybrid
Journal of Wood Chemistry and Technology,0277-3813,Taylor & Francis,,25%,Hybrid
Journal of Workplace Behavioral Health,1555-5240,Taylor & Francis,,25%,Hybrid
Journal of Youth Studies,1367-6261,Taylor & Francis,,25%,Hybrid
Journal on the Use of Force and International Law,2053-1702,Taylor & Francis,,25%,Hybrid
Journalism History,0094-7679,Taylor & Francis,,25%,Hybrid
Journalism Practice,1751-2786,Taylor & Francis,,25%,Hybrid
Journalism Studies,1461-670X,Taylor & Francis,,25%,Hybrid
Judicial Review,1085-4681,Taylor & Francis,,25%,Hybrid
Jung Journal,1934-2039,Taylor & Francis,,25%,Hybrid
Jurisprudence,2040-3313,Taylor & Francis,,25%,Hybrid
Justice Evaluation Journal,2475-1979,Taylor & Francis,,25%,Hybrid
Justice Quarterly,0741-8825,Taylor & Francis,,25%,Hybrid
King's Law Journal,0961-5768,Taylor & Francis,,25%,Hybrid
KIVA,0023-1940,Taylor & Francis,,25%,Hybrid
Knowledge Management Research &amp; Practice,1477-8238,Taylor & Francis,,25%,Hybrid
Konsthistorisk tidskrift/Journal of Art History,0023-3609,Taylor & Francis,,25%,Hybrid
Labor History,0023-656X,Taylor & Francis,,25%,Hybrid
Labour and Industry,1030-1763,Taylor & Francis,,25%,Hybrid
Lake and Reservoir Management,1040-2381,Taylor & Francis,,25%,Hybrid
Landscape History,0143-3768,Taylor & Francis,,25%,Hybrid
Landscape Research,0142-6397,Taylor & Francis,,25%,Hybrid
Landscapes,1466-2035,Taylor & Francis,,25%,Hybrid
Language &amp; History,1759-7536,Taylor & Francis,,25%,Hybrid
Language Acquisition,1048-9223,Taylor & Francis,,25%,Hybrid
Language and Education,0950-0782,Taylor & Francis,,25%,Hybrid
Language and Intercultural Communication,1470-8477,Taylor & Francis,,25%,Hybrid
Language Assessment Quarterly,1543-4303,Taylor & Francis,,25%,Hybrid
Language Awareness,0965-8416,Taylor & Francis,,25%,Hybrid
Language Learning and Development,1547-5441,Taylor & Francis,,25%,Hybrid
Language Matters,1022-8195,Taylor & Francis,,25%,Hybrid
"Language, Cognition and Neuroscience",2327-3798,Taylor & Francis,,25%,Hybrid
"Language, Culture and Curriculum",0790-8318,Taylor & Francis,,25%,Hybrid
Laterality,1357-650X,Taylor & Francis,,25%,Hybrid
Latin American and Caribbean Ethnic Studies,1744-2222,Taylor & Francis,,25%,Hybrid
Latin American Business Review,1097-8526,Taylor & Francis,,25%,Hybrid
Law &amp; Literature,1535-685X,Taylor & Francis,,25%,Hybrid
Law and Financial Markets Review,1752-1440,Taylor & Francis,,25%,Hybrid
Law and Humanities,1752-1483,Taylor & Francis,,25%,Hybrid
"Law, Innovation and Technology",1757-9961,Taylor & Francis,,25%,Hybrid
Leadership and Policy in Schools,1570-0763,Taylor & Francis,,25%,Hybrid
"Learning, Media and Technology",1743-9884,Taylor & Francis,,25%,Hybrid
Learning: Research and Practice,2373-5082,Taylor & Francis,,25%,Hybrid
Legal Ethics,1460-728x,Taylor & Francis,,25%,Hybrid
Legal Pluralism and Critical Social Analysis,2770-6869,Taylor & Francis,,25%,Hybrid
Legal Reference Services Quarterly,0270-319X,Taylor & Francis,,25%,Hybrid
Leisure Sciences,0149-0400,Taylor & Francis,,25%,Hybrid
Leisure Studies,0261-4367,Taylor & Francis,,25%,Hybrid
Leisure/Loisir,1492-7713,Taylor & Francis,,25%,Hybrid
Leukemia &amp; Lymphoma,1042-8194,Taylor & Francis,,25%,Hybrid
LEUKOS,1550-2724,Taylor & Francis,,25%,Hybrid
Levant,0075-8914,Taylor & Francis,,25%,Hybrid
LGBTQ  Family: An Interdisciplinary Journal,2770-3371,Taylor & Francis,,25%,Hybrid
Life Writing,1448-4528,Taylor & Francis,,25%,Hybrid
Linear and Multilinear Algebra,0308-1087,Taylor & Francis,,25%,Hybrid
Liquid Crystals,0267-8292,Taylor & Francis,,25%,Hybrid
Lit: Literature Interpretation Theory,1043-6928,Taylor & Francis,,25%,Hybrid
Literacy Research and Instruction,1938-8071,Taylor & Francis,,25%,Hybrid
Lithic Technology,0197-7261,Taylor & Francis,,25%,Hybrid
Liturgy,0458-063X,Taylor & Francis,,25%,Hybrid
Local Development &amp; Society,2688-3597,Taylor & Francis,,25%,Hybrid
Local Environment,1354-9839,Taylor & Francis,,25%,Hybrid
Local Government Studies,0300-3930,Taylor & Francis,,25%,Hybrid
Logistique &amp; Management,1250-7970,Taylor & Francis,,25%,Hybrid
Logopedics Phoniatrics Vocology,1401-5439,Taylor & Francis,,25%,Hybrid
Loisir et Société / Society and Leisure,0705-3436,Taylor & Francis,,25%,Hybrid
Luxury,2051-1817,Taylor & Francis,,25%,Hybrid
Machining Science and Technology,1091-0344,Taylor & Francis,,25%,Hybrid
Macroeconomics and Finance in Emerging Market Economies,1752-0843,Taylor & Francis,,25%,Hybrid
Management &amp; Organizational History,1744-9359,Taylor & Francis,,25%,Hybrid
Managing Sport and Leisure,2375-0472,Taylor & Francis,,25%,Hybrid
Marine and Freshwater Behaviour and Physiology,1023-6244,Taylor & Francis,,25%,Hybrid
Marine Biology Research,1745-1000,Taylor & Francis,,25%,Hybrid
Marine Geodesy,0149-0419,Taylor & Francis,,25%,Hybrid
Marine Georesources &amp; Geotechnology,1064-119X,Taylor & Francis,,25%,Hybrid
Maritime Policy &amp; Management,0308-8839,Taylor & Francis,,25%,Hybrid
Marketing Education Review,1052-8008,Taylor & Francis,,25%,Hybrid
Marriage &amp; Family Review,0149-4929,Taylor & Francis,,25%,Hybrid
Mass Communication and Society,1520-5436,Taylor & Francis,,25%,Hybrid
Material Religion,1743-2200,Taylor & Francis,,25%,Hybrid
Materials and Manufacturing Processes,1042-6914,Taylor & Francis,,25%,Hybrid
Materials at High Temperatures,0960-3409,Taylor & Francis,,25%,Hybrid
Materials Research Innovations,1432-8917,Taylor & Francis,,25%,Hybrid
Materials Science and Technology,0267-0836,Taylor & Francis,,25%,Hybrid
Math Horizons,1072-4117,Taylor & Francis,,25%,Hybrid
Mathematical Population Studies,0889-8480,Taylor & Francis,,25%,Hybrid
Mathematical Thinking and Learning,1098-6065,Taylor & Francis,,25%,Hybrid
Mathematics Magazine,0025-570X,Taylor & Francis,,25%,Hybrid
Measurement and Evaluation in Counseling and Development,0748-1756,Taylor & Francis,,25%,Hybrid
Measurement in Physical Education and Exercise Science,1091-367X,Taylor & Francis,,25%,Hybrid
Measurement: Interdisciplinary Research and Perspectives,1536-6367,Taylor & Francis,,25%,Hybrid
Mechanics Based Design of Structures and Machines,1539-7734,Taylor & Francis,,25%,Hybrid
Mechanics of Advanced Materials and Structures,1537-6494,Taylor & Francis,,25%,Hybrid
Media Asia,0129-6612,Taylor & Francis,,25%,Hybrid
Media History,1368-8804,Taylor & Francis,,25%,Hybrid
Media Practice and Education,2574-1136,Taylor & Francis,,25%,Hybrid
Media Psychology,1521-3269,Taylor & Francis,,25%,Hybrid
Medical Anthropology,0145-9740,Taylor & Francis,,25%,Hybrid
Medical Reference Services Quarterly,0276-3869,Taylor & Francis,,25%,Hybrid
Medical Teacher,0142-159X,Taylor & Francis,,25%,Hybrid
"Medicine, Conflict and Survival",1362-3699,Taylor & Francis,,25%,Hybrid
Medieval Archaeology,0076-6097,Taylor & Francis,,25%,Hybrid
Medieval Mystical Theology,2046-5726,Taylor & Francis,,25%,Hybrid
Medieval Sermon Studies,1366-0691,Taylor & Francis,,25%,Hybrid
Mediterranean Historical Review,0951-8967,Taylor & Francis,,25%,Hybrid
Mediterranean Politics,1362-9395,Taylor & Francis,,25%,Hybrid
Memory,0965-8211,Taylor & Francis,,25%,Hybrid
"Mental Health, Religion &amp; Culture",1367-4676,Taylor & Francis,,25%,Hybrid
Mentoring &amp; Tutoring: Partnership in Learning,1361-1267,Taylor & Francis,,25%,Hybrid
Metaphor and Symbol,1092-6488,Taylor & Francis,,25%,Hybrid
Middle East Critique,1943-6149,Taylor & Francis,,25%,Hybrid
Middle East Development Journal,1793-8120,Taylor & Francis,,25%,Hybrid
Middle Eastern Literatures,1475-262X,Taylor & Francis,,25%,Hybrid
Middle Eastern Studies,0026-3206,Taylor & Francis,,25%,Hybrid
Middle School Journal,0094-0771,Taylor & Francis,,25%,Hybrid
Midland History,0047-729X,Taylor & Francis,,25%,Hybrid
Military Behavioral Health,2163-5781,Taylor & Francis,,25%,Hybrid
Military Psychology,0899-5605,Taylor & Francis,,25%,Hybrid
"Mind, Culture, and Activity",1074-9039,Taylor & Francis,,25%,Hybrid
Mineral Processing and Extractive Metallurgy,2572-6641,Taylor & Francis,,25%,Hybrid
